ID;population;area;density;name;borders;neighbours;
ASCII;Hauptwohnsitze;inkm²;Einwohner/km²;korrekterName;Anzahl;ASCII;
Moeggers;555;11,4;48,68;Möggers;4;Hohenweiler,Hoerbranz,Eichenberg,Langen;
Hittisau;2072;46,7;44,37;Hittisau;6;Riefensberg,Krumbach,Langenegg,Lingenau,Egg,Sibratsgfaell;
Buerserberg;561;13,7;40,95;Bürserberg;4;Brand,Nenzing,Nueziders,Buers;
Au;1807;45,0;40,16;Au;6;Mellau,Schnepfau,Damuels,Fontanella,Schoppernau,Sonntag;
Tschagguns;2160;57,6;37,50;Tschagguns;3;Vandans,Sankt_Gallenkirch,Schruns;
Eichenberg;420;11,6;36,21;Eichenberg;4;Lochau,Langen,Moeggers,Hoerbranz;
Loruens;299;8,4;35,60;Lorüns;5;Stallehr,Bludenz,Buers,Vandans,Sankt_Anton;
Viktorsberg;421;12,5;33,68;Viktorsberg;5;Dornbirn,Fraxern,Weiler,Roethis,Zwischenwasser;
Sankt_Gerold;395;12,6;31,35;St.Gerold;5;Schnepfau,Au,Reuthe,Dornbirn,Damuels;
Mellau;1263;40,6;31,11;Mellau;4;Laterns,Blons,Raggal,Thueringerberg;
Schnepfau;479;16,5;29,03;Schnepfau;3;Mellau,Bizau,Au;
Duenserberg;146;5,6;26,07;Dünserberg;5;Duens,Uebersaxen,Laterns,Schnifis,Satteins;
Blons;341;14,9;22,89;Blons;5;Laterns,Sankt_Gerold,Raggal,Sonntag,Fontanella;
Raggal;877;41,6;21,08;Raggal;8;Bludenz,Nueziders,Ludesch,Sankt_Gerold,Blons,Sonntag,Dalaas,Innerbraz;
Schoppernau;937;47,6;19,68;Schoppernau;5;Au,Mittelberg,Bezau,Schroecken,Sonntag;
Brand;758;40,3;18,81;Brand;4;Nenzing,Buerserberg,Vandans,Buers;
Lech;1595;90,0;17,72;Lech;7;Silbertal,Kloesterle,Bartholomaeberg,Lech,Sonntag,Innerbraz,Raggal;
Dalaas;1662;94,3;17,62;Dalaas;5;Warth,Schroecken,Sonntag,Dalaas,Kloesterle;
Sankt_Gallenkirch;2208;128,1;17,24;St.Gallenkirch;5;Laterns,Thueringerberg,Blons,Raggal,Ludesch;
Damuels;329;20,9;15,74;Damüls;5;Mellau,Dornbirn,Au,Laterns,Fontanella;
Laterns;678;43,8;15,48;Laterns;4;Damuels,Au,Sonntag,Blons;
Sibratsgfaell;448;29,3;15,29;Sibratsgfäll;8;Dornbirn,Zwischenwasser,Uebersaxen,Duenserberg,Thueringerberg,Sankt_Gerold,Blons,Damuels;
Fontanella;460;31,2;14,74;Fontanella;2;Hittisau,Egg;
Kloesterle;673;62,3;10,80;Klösterle;3;Lech,Dalaas,Silbertal;
Silbertal;846;88,7;9,54;Silbertal;6;Gaschurn,Sankt_Gallenkirch,Schruns,Bartholomaeberg,Dalaas,Kloesterle;
Schroecken;209;23,4;8,93;Schröcken;5;Lech,Warth,Mittelberg,Schoppernau,Sonntag;
Warth;169;19,3;8,76;Warth;3;Mittelberg,Schroecken,Lech;
Gaschurn;1445;175,4;8,24;Gaschurn;2;Silbertal,Sankt_Gallenkirch;
Sonntag;639;81,6;7,83;Sonntag;8;Fontanella,Au,Schoppernau,Schroecken,Lech,Dalaas,Raggal,Blons;
Vorarlberg;401848;2603,2;154,37;Vorarlberg;;;
